,Nama,Harga Diskon,Harga Awal,Diskon,Rating,Terjual,Kota/Kab,Feedback,Toko
202,Paket Softbox Lighting untuk Studio Foto Untuk Foto Baju Anak dan Dewasa,1155000,1155000,0,5,4,Jakarta Barat,48rb,Toko F
203,green screen dengan stand dan lighting duble softbox includ lampu 45 watt,795000,795000,0,4.9,32,Jakarta Pusat,1rb,Toko I
204,Aputure MC RGBWW LED Light Lampu Video Lighting Aputure Garansi Resmi,1564000,1564000,0,,0,Tangerang,3rb,Toko G
205,GL-120 - Lavalier Microphone for Lightning Port - 1.5M Length,88900,88900,0,,0,Jakarta Barat,3rb,Toko G
206,MINI LED W49 Video Lighting Ulanzi FREE Tripod Mini - Braket L Kamera,215000,215000,0,5,1,Jakarta Pusat,2rb,Toko M
207,Paket Lengkap Background Foto Studio Lightning G1 Vlogger Youtuber,1650000,1650000,0,5,8,Jakarta Barat,48rb,Toko F
208,Original DUZZONA Cable 3 in 1 Type C Lightning Micro USB 100W Fast Charging,247500,275000,10,,0,Jakarta Selatan,2rb,Toko M
209,DUZZONA Original Cable Charger Type C Lightning PD Fast Charging Cable Data - C TO C,185000,185000,0,,0,Jakarta Barat,4rb,Toko B
210,DUZZONA Original Cable 3 in 1 Type C Lightning Micro USB 100W Fast Charging,325000,325000,0,,0,Jakarta Barat,4rb,Toko B
211,MCDODO Converter Apple Lighting To Jack 3.5mm Adapter Lightning Dual Converter Lighting CA-6340,289000,289000,0,5,5,Jakarta Barat,1rb,Toko I
212,Original DUZZONA Cable Charger Kabel Data Lightning PD Type C To Type C 65W,274500,305000,10,,0,Jakarta Selatan,2rb,Toko M
213,Zhiyun Molus G60 Combo Bi-Color Compact LED Lampu Lighting 60W Resmi,4430000,4430000,0,,0,Tangerang,3rb,Toko G
214,Nanlite Parabolic Softbox 120cm Soft Box Studio Lighting,2280000,2280000,0,,0,Jakarta Pusat,2rb,Toko M
215,Portrait Foto Studio Day Lighting Kit Youtube Vlog with Backdrop - LD-TZ30,1222000,1222000,0,,0,Jakarta Barat,7rb,Toko AA
216,Reflektor besar 5in1 diffuser cahaya lighting reflector 5 in 1 difuser foto reflektor pemantul cahaya,59000,59000,0,,0,Kab. Bekasi,1rb,Toko I
217,Foto Studio Lighting Kit Youtube Vlog TaffSTUDIO Portrait,242200,1807000,86.6,,0,Jakarta Barat,11rb,Toko D
218,Ugreen MFi Charger 20W PD TYPE C Lightning iPhone Fast Charging 50799,215000,215000,0,4.8,16,Kab. Tangerang,110rb,Toko AB
219,Foto Studio Lighting Kit Backdrop - TZ11A,871400,4020000,78.3,,0,Jakarta Selatan,7rb,Toko AA
220,1 SET TRIPOD 2.8M + LAMPU PROFESIONAL LIGHTING 400W SOFT BALL LIGHT,1120000,1120000,0,,0,Jakarta Utara,6rb,Toko L
221,Lampu LED 64 Panel Light Portable Mini Video Lighting - Black,133000,133000,0,,0,Jakarta Barat,7rb,Toko AA
222,DUZZONA Original Cable Charger Kabel Data Lightning PD Type C To Type C 65W,255000,255000,0,,0,Jakarta Barat,4rb,Toko B
223,Kabel Data Metal Magnetic X-Cable 360 For Lighting/Type C/ Micro USB,17510,18700,6.4,5,4,Jakarta Utara,1rb,Toko I
224,Splitter Converter iPhone Lightning to Audio jack 3.5mm Connect With Bluetooth - converter audio iPhone,40000,40000,0,,0,Sleman,525,Toko AC
225,Toocki TQ-WC01 Portable Wireless Charger Apple Watch - 38mm 40mm 41mm 42mm 44mm 45mm 49mm Series 1 2 3 4 5 6 7 8 SE 2022 Lightning Port,188100,190000,1,5,1,Bandung,11rb,Toko D
226,OTG adapter iPhone - OTG iPhone USB 3.0 to Lightning - OTG Flasdisk iPhone,70000,70000,0,,0,Sleman,525,Toko AC
227,Oraimo Data Cable Duraline 3 Kabel Android Type-C Lightning 2A Fast Charging Panjang 1 Meter OCD-M32/L32/C32,16915,39000,56.6,4.9,19,Jakarta Pusat,4rb,Toko B
228,Original Official Asus Hard Case Lighting Armor Cover Rog Phone 3 2020 Hardcase Anti Knock Protection Drop Resistant Ori,1090000,1090000,0,,0,Jakarta Pusat,1rb,Toko I
229,ROBOT RGL100 DATA CABLE LIGHTNING 100CM 2.1A KABEL CASAN IPHONE X 5 6 7 8 COLORFUL GEAR BODY,18000,18000,0,5,94,Bekasi,36rb,Toko AD
230,Mainan Anak Disney Cars Lightning McQueen Set 7 in 1 - SK70327,489900,532400,8,,0,Jakarta Barat,6rb,Toko L
231,Lampu Lightning Kamera Studio 160 LED - LD-160 - Black,276000,276000,0,,0,Jakarta Barat,7rb,Toko AA
232,Photography Foto Studio Lighting Kit Youtube Vlog - D-HZ7 - Black,614000,614000,0,,0,Jakarta Barat,7rb,Toko AA
233,Takara Bomber 80S Professional 80W Video LED Lampu Lighting Resmi,870000,870000,0,,0,Tangerang,3rb,Toko G
234,GODOX SL-60W LED LIGHTING - LAMPU GODOX SL-60W,1350000,1350000,0,5,1,Cirebon,16rb,Toko C
235,Softbox Lighting 50x70 cm universal mount lampu studio,149000,149000,0,5,5,Jakarta Timur,4rb,Toko B
236,LED 176C Lighting Studio Video Photography BONUS Tripod,290000,290000,0,,1,Jakarta Barat,13rb,Toko AE
237,Razer Key Light Chroma | Professional Lighting for Streaming / Gamer / YouTuber,4899000,4899000,0,,0,Jakarta Pusat,1rb,Toko I
238,Softbox Reflektor Photography Studio Lighting Kit - KS62,2847400,2847400,0,,0,Jakarta Barat,27rb,Toko O
239,Kabel USB Type C to Lighting 2 meter Cable Charging iphone 11 Original 1 Meter Kabel Charger Type C To Lightning,175000,175000,0,5,7,Jakarta Barat,1rb,Toko I
240,Kabel HDMI ke Type C USB Micro Lightning Converter 3in1 2M PX MHA-130 MHL Smartphone HP Mirroring Converter HDMI to Micro Lightning Type C,269000,269000,0,4.3,6,Jakarta Barat,1rb,Toko I
241,Mainan Anak Disney Cars Lightning McQueen Set 7 in 1,647900,780600,17,,0,Jakarta Barat,15rb,Toko E
242,BUKU DESIGN RUMAH LIGHTING,85600,85600,0,,0,Tangerang,216,Toko AF
243,TaffSTUDIO Photography Foto Studio Lightning Kit Youtube Vlog D-HZ7,663500,3311000,80,5,1,Jakarta Barat,27rb,Toko O
244,Selens Meking Light Stand Photography Studio MF-6027B Heavy Duty For Studio Lighting | 697967 | SKU 1.030.0282,599000,599000,0,,0,Jakarta Barat,10rb,Toko N
245,Softbox 2 Set Lengkap Reflektor Foto Video Studio Lighting Kit Adjust,945900,945900,0,,0,Jakarta Barat,1rb,Toko I
246,Reflektor besar 5in1 diffuser cahaya lighting reflector jumbo 5 in 1 difuser foto reflektor pemantul cahaya,95000,95000,0,,0,Kab. Bekasi,1rb,Toko I
247,Lampu Lighting Kamera Video 160 LED,305300,305300,0,,0,Jakarta Barat,3rb,Toko G
248,PX MHA-130 Kabel HDMI ke Type C USB/Micro/Lightning Converter 3in1 2M,229000,229000,0,,0,Jakarta Pusat,21rb,Toko AG
249,PX MHA-110U HDMI to USB Micro TypeC Lightning Converter TV IOS Android,220000,220000,0,,0,Jakarta Pusat,21rb,Toko AG
250,Ugreen Kabel Lightning MFi Support For Ip 13 14 12 8 11 X XR XS X Max Ipad Support PD Charger 20Watt,235000,235000,0,,0,Jakarta Barat,380,Toko X
251,Cermin Rias Bulat Cermin Round Lighting Ukuran Medium 60x60 cm,465000,465000,0,5,1,Bantul,4rb,Toko B
252,Earphone Earpods Lightning Port for iPhone - E200,31400,185000,83,,0,Jakarta Barat,15rb,Toko E
253,Portrait Foto Studio Lighting Kit Youtube Vlog - VL-9004 - Black,224000,224000,0,,0,Jakarta Barat,7rb,Toko AA
254,Background Stand Foto Studio dan Lighting Full Set TaffSTUDIO LD-TZ11A,977300,977300,0,,0,Jakarta Barat,3rb,Toko G
255,Softbox Lighting Studio Payung Reflektor 50x70cm Flash Speedlight,153900,153900,0,,0,Jakarta Barat,1rb,Toko I
256,Lampu 96 LED Video Fill Lighting Lamp DSLR Hot Shoe 1 per 4 Drat Kamera HP,135000,135000,0,,0,Jakarta Barat,11rb,Toko D
257,Foto Studio Lighting Kit with Backdrop - LD-TZ11A,821000,821000,0,,0,Jakarta Barat,7rb,Toko AA
258,INBEX 210cm 2.1m Collapsible Light Stand for LED / Studio Lighting,59000,59000,0,,0,Surabaya,2rb,Toko M
259,Payung Softbox Reflektor Lighting Foto Video Studio E27 Single Socket,93900,93900,0,,0,Jakarta Barat,1rb,Toko I
260,Softbox Lighting Single Socket Lampu E27 Untuk Studio Foto Lighting,155000,155000,0,4.7,26,Jakarta Barat,48rb,Toko F
261,Lighting Kamera DSLR 160 LED Filter Diffuser Lightdow Lampu Studio,294900,294900,0,,0,Jakarta Barat,1rb,Toko I
262,PULUZ 30cm Photo Studio Mini Folding Portable Ring Light Lighting Shooting Tent Box Kit with 6 Colors Backdrops - SKU 1.007.0006 - PU5030,225000,225000,0,,0,Jakarta Barat,10rb,Toko N
263,Kabel Lightning ke 3.5mm Headphone for iPhone 78X,16900,143000,88.2,5,1,Jakarta Barat,15rb,Toko E
264,Baseus Nimble Series 2 in 1 Kabel Micro USB - Lightning 2A 23 CM - Black,54600,54600,0,5,37,Jakarta Barat,111rb,Toko AH
265,VYATTA IZY LIGHTNING iPhone IOS Cable - Kabel Data FAST CHARGE,39015,99000,60.6,5,17,Jakarta Timur,34rb,Toko A
266,SOUL SE180 Kabel Charger 3in1 Micro Lightning Type-C Fast Charging,25085,89000,71.8,4.9,44,Jakarta Barat,15rb,Toko E
267,VYATTA GAMER LIGHTNING USB CABLE - FAST CHARGE GARANSI 12 BULAN,31365,75000,58.2,4.9,148,Jakarta Timur,34rb,Toko A
268,VYATTA XTEN Magnet Cable - Kabel Data Lightning - iPhone - iPad - Anti Kusut - Fast Charge,56015,148000,62.2,5,7,Jakarta Timur,34rb,Toko A
269,Oraimo Data Cable Candy Kabel Data 5V 2.1A Fast Charging Micro USB Type-C Lightning Safe Protection OCD-M22 OCD-C22 OCD-L22,12665,39000,67.5,5,5,Jakarta Pusat,4rb,Toko B
270,VYATTA IZY Lightning USB CABLE - FAST CHARGE GARANSI 12 BULAN,39015,99000,60.6,5,14,Jakarta Timur,34rb,Toko A
271,"VYATTA LED Kabel Data Lightning, LED Light, Fast Charging",30515,99000,69.2,,0,Jakarta Timur,34rb,Toko A
272,Softbox Full Set Payung Reflector Portrait Foto Studio Lighting Kit,483900,483900,0,,0,Jakarta Barat,1rb,Toko I
273,Payung Lighting Studio Reflective Umbrella Photography Diameter 80CM,45900,45900,0,,0,Jakarta Barat,1rb,Toko I
274,Selens 100x100cm 20 Pcs Gel Filter Color Temperature Efek Warna Video Foto Gel Filter Sheets Color Lighting Paper | 1.030.0157 | TZ755490,972000,972000,0,,0,Jakarta Barat,10rb,Toko N
275,TaffSTUDIO Lightdow Lighting Kamera 160 LED - LD-160 ATAU Lampu Flash Kamera DSLR - Lightning Kamera - 160 LED Video LED Taffware Lighting Kamera 160,249147,251664,1,,0,Jakarta Barat,19rb,Toko P
276,Portable Light Stand Tripod 180cm for Studio Lighting W803,47300,310000,84.7,,0,Jakarta Barat,9rb,Toko K
277,Payung Softbox Reflektor Lighting TaffSTUDIO 50x70cm E27 Single Socket,69900,316800,77.9,,0,Jakarta Barat,9rb,Toko K
278,Tiang Lampu Portable Light Stand Tripod 200cm for Studio Lighting,55900,55900,0,,0,Jakarta Barat,1rb,Toko I
279,Softbox Lighting Studio Payung Reflektor Portable 50x70cm Flash Mount,113800,113800,0,,0,Jakarta Barat,1rb,Toko I
280,Lampu Foto Video Studio Lighting LED 300W Cool White Adjustable Remote,624900,624900,0,,0,Jakarta Barat,1rb,Toko I
281,Godox LEDP260C Video Light LED Continuous Lighting,890000,890000,0,4.3,9,Jakarta Barat,3rb,Toko G
282,VYATTA ULTRA SLIM XS POWERBANK POWER BANK 15W 2IN1 LIGHTNING TYPE C,203150,389000,47.8,,0,Jakarta Timur,34rb,Toko A
283,Safstar Softbox Reflektor Photography Foto Studio Lighting Kit Youtube Vlog - KS62 - Black,775000,775000,0,,0,Jakarta Barat,7rb,Toko AA
284,UGREEN Kabel Data Charger Type C to Lightning iPhone 1M 3A 20W MFi Fast Charging - 10493,129000,129000,0,5,7,Kab. Tangerang,110rb,Toko AB
285,Paket Lighting Studio Youtube Vlog,268800,268800,0,,0,Jakarta Barat,3rb,Toko G
286,MIDIO Payung Octagonal Softbox Reflektor Flash Lighting ukuran 80 CM,444000,444000,0,5,3,Jakarta Barat,48rb,Toko F
287,Softbox Reflektor Photography Studio Lighting Kit,1390000,1390000,0,,0,Jakarta Pusat,5rb,Toko AI
288,Microphone Clip-on Lightning Plug iPad iPhone - USB Type C - Mic Clip - TaffSTUDIO JH-041,52500,52500,0,5,1,Tangerang,21rb,Toko AG
289,LD-160 HD-160 LED Video Lighting Studio Lamp Lampu Studio Foto BONUS Gorilla Pod,282000,282000,0,4.8,164,Jakarta Barat,13rb,Toko AE
290,Lampu LED Lighting Studio Foto Video Live With Clamp Holder Remote,233900,233900,0,,0,Jakarta Barat,1rb,Toko I
291,Bright Titan X3 LED White Lampu Studio Background Lighting Studio Foto,405000,405000,0,5,1,Jakarta Barat,48rb,Toko F
292,VYATTA All In One Cable - Kabel Data Micro - Type C - Lightning - Power Delivery - Phone Stand - Super Fast Data Transfer,84915,239000,64.5,5,91,Jakarta Timur,34rb,Toko A
293,Oraimo Powerbank 10000mAH Real Capacity Fast Charging Slice Link 12W Built-in Cables Micro USB Lightning Type-C OPB-P5101,169915,299000,43.2,5,1,Jakarta Pusat,4rb,Toko B
294,Selens Lampu 230V 1000W Film Television Reflected Light Quartz Lamp Halogen Light Spotlight G15 Bulb for Stage Lighting | 840514 | SKU 1.030.0297,199000,199000,0,,0,Jakarta Barat,10rb,Toko N
295,Portable Light Stand Tripod 180cm for Studio Lighting,58100,58100,0,,0,Surabaya,4rb,Toko B
296,Tripod Stand 2M Light Stand Studio Lighting,139000,139000,0,4.9,186,Jakarta Barat,48rb,Toko F
297,Bright Titan X1 RGB LED Lampu Studio Lighting RGB Lampu Studio Foto,415500,415500,0,5,10,Jakarta Barat,48rb,Toko F
298,LED Bi-Color Dual Bar Glam Ring Light Stand X Lamp Lampu Rias Makeup Make Up MUA Pro One D-24HL Live Beauty Lighting Dua,663000,663000,0,,0,Surabaya,3rb,Toko G
299,TaffSTUDIO Portrait Foto Studio Lighting Kit Youtube Vlog - VL-9004,392200,392200,0,,0,Jakarta Barat,32rb,Toko AJ
300,TaffSTUDIO Photography Foto Studio Lighting Kit Youtube Vlog - D-HZ7,625400,625400,0,,0,Jakarta Barat,32rb,Toko AJ
301,Lampu Studio LED 2 Warna Dimmable Lighting 30W LCD Display Remote,1112900,1112900,0,,0,Jakarta Barat,1rb,Toko I
302,Perlengkapan Foto Studio Lighting Backdrop Stand Set Softbox Bohlam,997900,997900,0,,0,Jakarta Barat,1rb,Toko I
303,LED Yongnuo YN 600 air -Video Lighting YN-600 Plus Adaptor AC power,1149000,1149000,0,,0,Jakarta Pusat,2rb,Toko M
304,Kabel Charger Aukey CB-AL01 90 2M USB-A to Lightning Mfi - 501754,125000,639000,80.4,,0,Jakarta Barat,19rb,Toko P
305,Aukey Cable CB-AKL1 MFI USB A To Lightning Kevlar 1.2 M Blue - 500421,165000,649000,74.6,4.8,70,Jakarta Barat,19rb,Toko P
306,Aukey Cable CB-AKL1 MFI USB A To Lightning Kevlar Cable 1.2M Black- 500420,165000,649000,74.6,4.7,28,Jakarta Barat,19rb,Toko P
307,Cermin Beauty Mirror Wall size Medium 40x60cm dengan LIGHTING,425000,425000,0,,0,Bantul,4rb,Toko B
308,iMac Lighting Lampu Senter Kepala Led Putih Terang ASC 8002 BB,35000,35000,0,,0,Jakarta Pusat,271,Toko V
309,Raket Nyamuk Swatter Lightning - LY80,33100,152000,78.2,,1,Jakarta Barat,3rb,Toko G
310,Headlamp LED Multifunction Outdoor Lighting 3W GD63,22200,100200,77.8,,0,Jakarta Barat,15rb,Toko E
311,Lampu Foto Studio Portrait Lighting Kit Youtube Vlog Unboxing - LD-TZ07A - Black,389000,389000,0,,0,Jakarta Barat,7rb,Toko AA
312,Foto Studio Lighting Kit with Backdrop,1400000,1400000,0,,0,Cilegon,27rb,Toko O
313,TaffSTUDIO Light Stand Tripod Studio Lighting 4 Section 180cm - FXFZ01,66800,66800,0,,0,Jakarta Barat,32rb,Toko AJ
314,Perlengkapan Lampu Foto Studio Set Lightning Stand Softbox Boom arm,767900,767900,0,,0,Jakarta Barat,1rb,Toko I
315,Photography Foto Studio Lightning Kit Youtube Vlog D-HZ7,999000,999000,0,,0,Cilegon,27rb,Toko O
316,Portrait Foto Studio Day Lightning Kit Youtube Vlog with Backdrop,1400000,1400000,0,,0,Cilegon,27rb,Toko O
317,LED video portable lighting dslr camcorder lampu led vidio kamera video light Led lampu kamera foto video Ligh led putih,77000,77000,0,,0,Kab. Bekasi,1rb,Toko I
318,Ring Light LED 26cm 3500-5600k Lighting Ringlight Make Up -DLL,355000,355000,0,,0,Jakarta Pusat,2rb,Toko M
319,Stand Bracket Boom Pool MicrophoneShot gun Lighting Film Video Maker Studio,96900,392000,75.3,,0,Jakarta Barat,9rb,Toko K
320,Joyseus Charger Fast Charging Free Kabel Micro Type C Lighting - CL0023,64900,99000,34.4,5,45,Jakarta Utara,33rb,Toko AK
321,Adapter Converter Lightning to HDMI VGA with Audio Port,129000,673000,80.8,4,3,Jakarta Barat,15rb,Toko E
322,Nyamuk USB Rechargeable Lightning Mosquito Racket - RE9,72000,378000,81,5,1,Jakarta Barat,15rb,Toko E
323,Power Bank 2 Port Micro USB Lightning Type C 20000mAh,329700,397200,17,,0,Jakarta Barat,15rb,Toko E
324,Power Bank Solar 2 Port 10000 mAh Micro Lightning Type C,122000,618000,80.3,,0,Jakarta Barat,15rb,Toko E
325,Nanlite FS-150 Spot Light LED Video Light Studio Lighting FS150,3820000,3820000,0,,0,Jakarta Pusat,2rb,Toko M
326,Nanlite FS-300 Spot Light LED Video Light Studio Lighting FS300,7320000,7320000,0,,0,Jakarta Pusat,2rb,Toko M
327,Paket Tiang Stand Lampu Payung Lighting Reflektor Softbox Studio Foto,467500,467500,0,,0,Jakarta Barat,3rb,Toko G
328,Boya BY-WM3T2-D2 Mini 2.4GHz Wireless Microphone Lightning iOS Device,925000,925000,0,5,1,Surabaya,1rb,Toko I
329,Paket Lighting Tolifo EF60W + Lantern Softbox Stand- Equal Godox SL60W,950000,950000,0,5,1,Tangerang,17rb,Toko AL
330,Paket Foto Studio Kit All in with Backdrop Lighting Stand Softbox,768200,2514000,69.4,,0,Jakarta Barat,9rb,Toko K
331,Baseus Kabel Data Charger 3in1 3.5A 1.2M MicroUSB Type c Apple iPhone Lightning 3 in 1 Kabel Set Fastcharging,59000,59000,0,4.9,494,Kab. Tangerang,110rb,Toko AB
332,Hollyland LARK C1 DUO Wireless Microphone for Lightning iOS iPhone,2499000,2499000,0,,0,Surabaya,1rb,Toko I
333,Paket lighting foto studio set background stand softbox lampu studio foto studio vlog youtube review,655000,720000,9,4.8,29,Bandung,3rb,Toko G
334,Mixer Lampu Stage Lighting Controller DMX Console DJ 192CH,373500,1881000,80.1,,0,Jakarta Barat,15rb,Toko E
335,Power Bank 2 Port 10000mAh MicroUSB Lightning Type C,101800,513600,80.2,,0,Jakarta Barat,15rb,Toko E
336,Power Bank 1 Port 10000mAh Kabel Micro Type C dan Lightning,76700,383400,80,,0,Jakarta Barat,15rb,Toko E
337,Helm Las Otomatis Auto Darkening Motif Lightning - HW-013,615100,741000,17,,0,Jakarta Barat,15rb,Toko E
338,kabel Data Cable Data 3 In 1 Lighting Micro USB Type-C JOYSEUS 120CM Fast Charging Blue - KB0040,34900,90000,61.2,4.9,486,Jakarta Utara,33rb,Toko AK
339,Murah !!! Lampu Flash Studio 1030 A Professional Lighting 10 Led Besar,900000,900000,0,,0,Jakarta Barat,14rb,Toko Q
340,Murah !!! Lampu Studio Video Lighting Red Head 800w,850000,850000,0,4.2,59,Jakarta Barat,14rb,Toko Q
341,Murah !!! Lampu Flash Studio Led Video Lighting Yong Nuo YN 600 L Professional,1560000,1560000,0,,0,Jakarta Barat,14rb,Toko Q
342,Lampu Studio Godox SK300II Lighting Studio Godox SK 300 II,1635000,1635000,0,,0,Jakarta Barat,14rb,Toko Q
343,Murah !!! Lampu Flash Studio Led Lighting Yongnuo YN 300 L II PROFESSIONAL,925000,925000,0,,0,Jakarta Barat,14rb,Toko Q
344,Lampu Studio Godox SK 400 II Lighting Studio SK400II,1750000,1750000,0,,0,Jakarta Barat,14rb,Toko Q
345,BOYA BY-K3 Converter Audio Cable Adapter 3.5mm TRRS to Lightning iOS,199000,199000,0,,0,Surabaya,1rb,Toko I
346,Kabel Data iPhone Baseus Lightning Kevlar Cable Fast Charge Original,39000,39000,0,4.9,83,Bandung,3rb,Toko G
347,Godox S-Type Softbox untuk Pencahayaan Kamera Foto Studio Photo Studio Lighting Camera Flash Diffuser with Bowens Mount for Speedlite 40 X 40CM,251000,502000,50,,0,Jakarta Barat,8rb,Toko AM
348,Kabel data Apple Lighting Cable Iphone 2.0A JOYSEUS 100 CM - KB0006-L,18000,70000,74.3,5,86,Jakarta Utara,33rb,Toko AK
349,Kabel Data Cable Data 3 In 1 MIcro USB Type-C Lighting JOYSEUS Black - KB0021,34900,70000,50.1,4.9,558,Jakarta Utara,33rb,Toko AK
350,Kabel Data Cable Data 90 Degree Apple Lighting Iphone 2.4A JOYSEUS 100CM - KB0066,24900,60000,58.5,4.9,259,Jakarta Utara,33rb,Toko AK
351,Kabel data Cable data Apple Lighting Cable Iphone JOYSEUS 100 CM Nylon Braided Black - KB0005-LL,14900,25000,40.4,4.9,701,Jakarta Utara,33rb,Toko AK
352,Kabel Data Cable Data Apple Lighting Cable Iphone 120 CM JOYSEUS Blue KB0001,29900,55000,45.6,5,89,Jakarta Utara,33rb,Toko AK
