,Nama,Harga Diskon,Harga Awal,Diskon,Terjual,Kota/Kab,Toko,Rating,Kategori
57,Nanlite Compac 20 Daylight Slim Soft Lighting Studio LED Panel Lampu,438000,438000,0.0,0,Jakarta Pusat,Toko M,,Lighting
58,Nanlite Forza 500 LED Monolight Continuos Lighting - Lampu Video,20750000,20750000,0.0,0,Jakarta Pusat,Toko M,,Lighting
59,Nanlite Compac 200B Bi-Color Slim Soft Lighting Studio LED Panel Video,8525000,8525000,0.0,0,Jakarta Pusat,Toko M,,Lighting
60,Nanlite LumiPad 11 Bi-Color Soft LED Panel Lighting - Lampu Video,587000,587000,0.0,0,Jakarta Pusat,Toko M,,Lighting
61,Aputure MC RGBWW LED Light - Amaran Lampu Video Lighting,1550000,1550000,0.0,0,Jakarta Pusat,Toko M,,Lighting
62,Casell LED-330RC DayLight CRI 95 Video Lighting LED - Lampu Kamera,1450000,1450000,0.0,0,Jakarta Pusat,Toko M,,Lighting
63,EZMODE Orion 80x LED Video Lighting 80W - 7200LM 3000-6500K,2190000,2250000,2.7,1,Jakarta Utara,Toko B,5.0,Lighting
64,PORTABLE PHOTO BOX 40X40 WITH LIGHTING - NICE FOTO STUDIO KIT,499000,499000,0.0,15,Jakarta Utara,Toko B,5.0,Lighting
65,RS232 to RS485 RS422 Converter with TVS Lightning protection PW02,210000,210000,0.0,0,Jakarta Utara,Toko D,,Lighting
66,RS232 to RS485 RS422 Active converter ESD Surge lightning protect PW03,360000,360000,0.0,0,Jakarta Utara,Toko D,,Lighting
67,Oraimo EasyLine 2 Kabel Data Iphone Lightning/ Type C/ Micro Usb Cable 2A Fast & Durable OCD-113 adalah kabel data Lightning untuk Iphone/ Micro Usb /,16915,39900,57.6,1,Jakarta Pusat,Toko B,,Lighting
68,Nanlite 600CSA Bicolor LED Panel Lighting Video Professional,3285000,3285000,0.0,0,Jakarta Pusat,Toko M,,Lighting
69,Casell LED M-200AI Portable LED Video Lighting Vlog with Power Bank,1600000,1600000,0.0,0,Jakarta Pusat,Toko M,,Lighting
70,Casell LED-330ARC Bi-Color CRI 95 Video Lighting LED - Lampu Kamera,1450000,1450000,0.0,0,Jakarta Pusat,Toko M,,Lighting
71,PULUZ 40 x 40cm Mini Photo Studio Box Lightbox Photography Softbox LED Photo Lighting 1.007.0011,595000,595000,0.0,0,Jakarta Barat,Toko N,,Lighting
72,Nanlite Forza 200 Daylight LED Monolight Continuos Lighting Video,9950000,9950000,0.0,0,Jakarta Pusat,Toko M,,Lighting
73,Lighting Studio Midio LED RGB Studio Foto M-REM5 Video LED Live LED,900000,900000,0.0,21,Jakarta Barat,Toko F,4.9,Lighting
74,Casell LED 600AS Bi-Color Video Lighting LED Lampu Kamera With Remote,2400000,2400000,0.0,0,Jakarta Pusat,Toko M,,Lighting
75,GODOX 150 Portable Mini Master Studio Flash Lighting K-150A,690000,690000,0.0,0,Jakarta Pusat,Toko M,,Lighting
76,Otg Usb A 3.0 to iPhone Lightning Mcdodo Ot-8600 Converter Adapter Original,85000,85000,0.0,7,Jakarta Pusat,Toko G,4.8,Lighting
77,Lightdow Lighting Kamera 160 LED LD-160,270000,755000,64.2,0,Jakarta Barat,Toko O,,Lighting
78,Tripod Camera 2M- Light Stand 2 M For Studio Lightning,25000,25000,0.0,258,Kab. Tangerang,Toko P,4.9,Lighting
79,Portable Lighting Stand Tripod 3 Section 200cm - SN303,45500,274000,83.4,1,Jakarta Barat,Toko E,5.0,Lighting
80,Portable Lighting Stand Tripod 200cm for Studio Lightning - SN303,45600,230000,80.2,0,Jakarta Barat,Toko D,,Lighting
81,Tripod Lampu Light Stand Portable 180cm Studio Photo Foto Lighting,97500,97500,0.0,178,Depok,Toko Q,4.7,Lighting
82,Casell LED-320AS Continuos Bi-Color Lighting On-Camera - Foto & Video,920000,920000,0.0,1,Jakarta Pusat,Toko M,5.0,Lighting
83,NiceFoto 100W daylight COB LED light HC-1000 Studio Lighting - Bowens Mount,2350000,2350000,0.0,2,Jakarta Pusat,Toko M,5.0,Lighting
84,Softbox Lighting Socket E27 Plus Tripod Stand 2M dan Lampu 45 watt,499000,499000,0.0,39,Jakarta Barat,Toko F,4.8,Lighting
85,VLOGGING KIT All in One Tripod Lightning Mic Remote Live Streaming VIZZION PK-771,95000,189900,50.0,2,Kab. Bekasi,Toko R,5.0,Lighting
86,Casell LED-300 Continuos Daylight Lighting On-Camera - Foto & Video,830000,830000,0.0,0,Jakarta Pusat,Toko M,,Lighting
87,Casell LED-300A Continuos Bi-Color Lighting On-Camera - Foto & Video,830000,830000,0.0,0,Jakarta Pusat,Toko M,,Lighting
88,Stand Tripod 3 Section 200cm Portable Lighting,47200,47200,0.0,4,Jakarta Barat,Toko Q,5.0,Lighting
89,Perlengkapan Lampu Foto Studio Lighting Stand Set Umbrella Reflector,271900,271900,0.0,0,Jakarta Barat,Toko I,,Lighting
90,Portable Light Stand Tripod 200cm for Studio Lighting - W803,46500,180000,74.2,0,Jakarta Barat,Toko O,,Lighting
91,KINGMA Extension Bracket Camera for Lighting Microphone and Stand,67000,67000,0.0,0,Jakarta Utara,Toko B,,Lighting
92,CORDE Kabel Data 3 in 1 Fast Charging 66W Micro USB Lightning Type C,109000,300000,63.7,6,Jakarta Utara,Toko S,5.0,Lighting
93,Kabel Data CORDE Type C to Lightning For iPhone Fast Charging 3A PD,45000,99000,54.5,33,Jakarta Utara,Toko S,5.0,Lighting
94,Kabel Data CORDE 3 in 1 5A Max Micro USB Lightning Type C,69000,230000,70.0,57,Jakarta Utara,Toko S,4.9,Lighting
95,Oraimo Data Cable Fastline 2 Kabel Data Type-C to Lightning 5V 2.4A Fast Charging Panjang 1 Meter OCD-CL54,50915,99000,48.6,1,Jakarta Pusat,Toko B,5.0,Lighting
96,Oraimo Data Cable Solidline Kabel Android Micro Type-C Lightning 5V 3A Fast Charging Panjang 1 Meter OCD-M72/C72/L72,28815,79000,63.5,2,Jakarta Pusat,Toko B,5.0,Lighting
97,KNF Concept Heavy Duty Light Stand 2.3M for Lighting Studio Equipment,399000,399000,0.0,2,Jakarta Utara,Toko B,5.0,Lighting
98,CORDE Kabel Data TYPE C to iPhone Lightning 18W PD Fast Charging 3A,49000,149000,67.1,27,Jakarta Utara,Toko S,5.0,Lighting
99,Kabel Aukey CB-AL01 90 2M USB-A to Lightning (NO PACKING & NO WARRANTY),75000,639000,88.3,2,Jakarta Barat,Toko P,5.0,Lighting
100,Portable Light Stand Tripod 200cm for Studio Lighting - W803,44000,193500,77.3,0,Jakarta Barat,Toko G,,Lighting
101,Foto Studio Lightning Kit Youtube Vlog Unboxing with Backdrop,887200,5704000,84.4,0,Jakarta Barat,Toko O,,Lighting
102,Tripod Lampu Portable Stand 180cm for Studio Lightning - W803,46300,198000,76.6,44,Jakarta Barat,Toko H,4.7,Lighting
103,Softbox Lighting Single Socket E27 Plus Tripod Stand 2M Cover Putih Ukuran,399000,399000,0.0,283,Jakarta Barat,Toko F,4.9,Lighting
104,Lighting Kit Set Foto Studio Youtube Vlog,238600,238600,0.0,0,Jakarta Barat,Toko Q,,Lighting
105,EZMODE Video Lighting LED 80W - 7200LM 3000-6500K - ORION 80X,2190000,2190000,0.0,0,Jakarta Pusat,Toko Q,,Lighting
106,Portrait Foto Studio Lighting Kit Youtube Vlog TaffSTUDIO,232700,758000,69.3,3,Jakarta Barat,Toko H,5.0,Lighting
107,Lighting Stand 110CM - Light Stand 110CM,35000,35000,0.0,0,Jakarta Utara,Toko B,,Lighting
108,EZ Stand Extension Boom Stand Plus Light Stand Studio 260CM for Lighting,280000,400000,30.0,2,Jakarta Utara,Toko B,5.0,Lighting
